Recognizing and Presenting the Storytelling Video Structure With Deep Multimodal Networks,"Lorenzo Baraldi, Costantino Grana, Rita Cucchiara, ",2017,4,Visual saliency for image captioning in new multimedia services
Can humans fly? Action understanding with multiple classes of actors,"Chenliang Xu, Shao-Hang Hsieh, Caiming Xiong, Jason J. Corso, ",2015,4,Actor-Action Semantic Segmentation with Grouping Process Models,Harnessing Object and Scene Semantics for Large-Scale Video Understanding,Weakly Supervised Actor-Action Segmentation via Robust Multi-task Ranking,How scenes imply actions in realistic videos?,Learning Deep Spatio-Temporal Dependence for Semantic Video Segmentation,Joint Learning of Object and Action Detectors
A Discrete Particle Swarm Optimization Algorithm for Domain Independent Linear Text Segmentation,"Ji-Wei Wu, Judy C. R. Tseng, Wen-Nung Tsai, ",2010,4,An Efficient Linear Text Segmentation Algorithm Using Hierarchical Agglomerative Clustering,Efficient scrolling videotext detection with adaptive temporal differential approach
Bootstrapping humanoid robot skills by extracting semantic representations of human-like activities from virtual reality,"Karinne Ramirez-Amaro, Tetsunari Inamura, Emmanuel Dean-Le&oacute;n, Michael Beetz, Gordon Cheng, ",2014,4,General recognition models capable of integrating multiple sensors for different domains,On-line simultaneous learning and recognition of everyday activities from virtual reality performances,Cognition-Enabled Robot Manipulation in Human Environments: Requirements Recent Work and Open Problems,Cloud-based multimodal human-robot interaction simulator utilizing ROS and unity frameworks,Robust semantic representations for inferring human co-manipulation activities even with different demonstration styles
Learning object relationships via graph-based context model,"Heesoo Myeong, Ju Yong Chang, Kyoung Mu Lee, ",2012,4,Contextual kernel map learning for scene transduction,Vehicle detection in wide area aerial surveillance using Temporal Context,Tensor-Based High-Order Semantic Relation Transfer for Semantic Scene Segmentation,Finding Things: Image Parsing with Regions and Per-Exemplar Detectors
Automatic segmentation of clinical texts,"Emilia Apostolova, David S. Channin, Dina Demner-Fushman, Jacob Furst, Steven Lytinen, Daniela Raicu, ",2009,4,MedIX: A named entity extraction tool from patient clinical reports,A general supervised approach to segmentation of clinical texts,Association rule extraction from medical transcripts of diabetic patients
A method and browser for cross-referenced video summaries,"A. Aner, Lijun Tang, J. R. Kender, ",2002,4,Components and systems for interactive video indexing,A Survey on Visual Content-Based Video Indexing and Retrieval,A Novel Video Summarization Based on Mining the Story-Structure and Semantic Relations Among Concept Entities,Automated video program summarization using speech transcripts
Inferring the Structure of a Tennis Game Using Audio Information,"Qiang Huang, Stephen Cox, ",2011,4,Detection of anomalous events in a tennis game using multimodal information,A two layered data association approach for ball tracking,Tennis Ball Tracking Using a Two-Layered Data Association Approach
Data collection and language understanding of food descriptions,"Mandy Korpusik, Nicole Schmidt, Jennifer Drexler, Scott Cyphers, James Glass, ",2014,4,Zero-shot learning of intent embeddings for expansion by convolutional deep structured semantic models,Distributional semantics for understanding spoken meal descriptions,Semantic mapping of natural language input to database entries via convolutional neural networks,Spoken Language Understanding for a Nutrition Dialogue System
Salient Object Detection on Large-Scale Video Data,"Shile Zhang, Jianping Fan, Hong Lu, Xiangyang Xue, ",2007,4,On the Influence of Region Mismatch at Training and Testing in Region-Related Concept Detection,On Traffic Density Estimation with a Boosted SVM Classifier
Multi-class semantic segmentation of faces,"Khalil Khan, Massimo Mauro, Riccardo Leonardi, ",2015,4,Figaro hair detection and segmentation in the wild,Head pose estimation through multi-class face segmentation,Facial feature detection: A facial symmetry approach,Non intrusive selective facial feature tracking: A fuzzy control approach
Deep Interactive Object Selection,"Ning Xu, Brian Price, Scott Cohen, Jimei Yang, Thomas Huang, ",2016,4,Pixelwise Instance Segmentation with a Dynamically Instantiated Network,Simple Does It: Weakly Supervised Instance and Semantic Segmentation,Learning Video Object Segmentation from Static Images,Online Video Object Segmentation via Convolutional Trident Network,A-Lamp: Adaptive Layout-Aware Multi-patch Deep Convolutional Neural Network for Photo Aesthetic Assessment,Comparison of objective functions in CNN-based prostate magnetic resonance image segmentation,Semi-automatic skin lesion segmentation via fully convolutional networks,Real-time user selected dynamic template tracking for UAV,Deep Interactive Region Segmentation and Captioning,Regional Interactive Image Segmentation Networks,Saliency Driven Image Manipulation,Interactive Medical Image Segmentation Using Deep Learning With Image-Specific Fine Tuning
Event Detection in Sports Video Based on Multiple Feature Fusion,"Hua-Yong Liu, Tingting He, Hui Zhang, ",2007,4,Overlaid Text Recognition for Matching Soccer-Concept Keywords,Automatic Overlaid Text Detection Extraction and Recognition for High Level Event/Concept Identification in Soccer Videos,A Survey on Visual Content-Based Video Indexing and Retrieval
Mapping low-level features to high-level semantic concepts in region-based image retrieval,"Wei Jiang, Kap Luk Chan, Mingjing Li, Hongjiang Zhang, ",2005,4,Learning in content based image retrieval - a brief review,Multilabel Neighborhood Propagation for Region-Based Image Retrieval,Hierarchical Semantic Hashing: Visual Localization from Buildings on Maps,An exploration-based interface for interactive image retrieval
Semantic body parts segmentation for quadrupedal animals,"Hussein Haggag, Ahmed Abobakr, Mohammed Hossny, Saeid Nahavandi, ",2016,4,Navigational path detection for the visually impaired using fully convolutional networks,Kangaroo Vehicle Collision Detection Using Deep Semantic Segmentation Convolutional Neural Network,A skeleton-free body surface area estimation from depth images using deep neural networks,A kinect-based workplace postural analysis system using deep residual networks,A skeleton-free kinect system for body mass index assessment using deep neural networks,Surgical tool segmentation using a hybrid deep CNN-RNN auto encoder-decoder,Early intent prediction of vulnerable road users from visual attributes using multi-task learning network,Simulating eye-head coordination during smooth pursuit using an ocular biomechanic model,RGB-D human posture analysis for ergonomie studies using deep convolutional neural network
Characterizing Layouts of Outdoor Scenes Using Spatial Topic Processes,"Dahua Lin, Jianxiong Xiao, ",2013,4,Dynamic Scene Classification Using Redundant Spatial Scenelets,A Feature Subset Based Decision Fusion Approach for Scene Classification Using Color Spectral and Texture Statistics,Multi-feature max-margin hierarchical Bayesian model for action recognition
Combining Convolutional and Recurrent Neural Networks for Human Skin Detection,"Haiqiang Zuo, Heng Fan, Erik Blasch, Haibin Ling, ",2017,4,Data-Based Line Trip Fault Prediction in Power Systems Using LSTM Networks and SVM,SANet: Structure-Aware Network for Visual Tracking,RGB-D Scene Labeling with Multimodal Recurrent Neural Networks,Object detection algorithm for segregating similar coloured objects and database formation,Deep Learning Based Hand Detection in Cluttered Environment Using Skin Segmentation,FoodNet: Recognizing Foods Using Ensemble of Deep Networks
Shot classification for action movies based on motion characteristics,"Shuhui Wang, Shuqiang Jiang, Qingming Huang, Wen Gao, ",2008,4,Classification of Cinematographic Shots Using Lie Algebra and its Application to Complex Event Recognition,A Data-Mining Based Video Shot Classification Method,Using context saliency for movie shot classification
What is Needed for a Robot to Acquire Grammar? Some Underlying Primitive Mechanisms for the Synthesis of Linguistic Ability,"Caroline Lyon, Yo Sato, Joe Saunders, Chrystopher L. Nehaniv, ",2009,4,From babbling towards first words: The emergence of speech in a robot in real-time interaction,Correction to What Is Needed for a Robot to Acquire Grammar? Some Underlying Primitive Mechanisms for the Synthesis of Linguistic Ability [Oct 09 187-195]
A Bayesian hierarchical detection framework for parking space detection,"Ching-Chun Huang, Sheng-Jyh Wang, Yao-Jen Change, Tsuhan Chen, ",2008,4,Cloud adaboost feedback training machine for outside available parking spaces query service,Utilizing prior information to enhance self-supervised aerial image analysis for extracting parking lot structures,Towards smart traffic management systems: Vacant on-street parking spot detection based on video analytics,Parking Space Detection Using Textural Descriptors
Semantic Classification of High-Resolution Remote-Sensing Images Based on Mid-level Features,"Junping Zhang, Tong Li, Xiaochen Lu, Zhen Cheng, ",2016,4,Remote Sensing Image Scene Classification: Benchmark and State of the Art,Superpixel-Based Multiple Local CNN for Panchromatic and Multispectral Image Classification
Scan-to-XML: automatic generation of browsable technical documents,"E. Valveny, B. Lamiroy, ",2002,4,Associating text and graphics for scientific chart understanding,Graphics recognition - from re-engineering to retrieval
Interactive Visualization Tool with Graphic Table of Video Contents,"H. Goeau, J. Thievre, M-L. Viaud, D. Pellerin, ",2007,4,A Total Variation Based Spiral Video Visualization Method,Video content and structure description based on keyframes clusters and storyboards,Video Browsing Using Interactive Navigation Summaries
A neural network approach to interactive content-based retrieval of video databases,"N. D. Doulamis, A. D. Doulamis, S. D. Kollias, ",1999,4,Content-Based Attention Ranking Using Visual and Contextual Attention Model for Baseball Videos,Addressing the problems of Bayesian network classification of video using high-dimensional features,iARM - an interactive video retrieval system
