Further developments in LP-based optimal power flow,"O. Alsac, J. Bright, M. Prais, B. Stott, ",1990,272,Optimal power flow based on successive linear approximation of power flow equations,Optimal active OPF with FACTS devices by an innovative load-equivalent approach,Real-time implementation of optimal reactive power flow,The implementation of an energy brokerage system using linear programming,Optimal power flow emulation of interchange brokerage systems using linear programming,Features of a hybrid expert system for security enhancement,Network constrained security control using an interior point algorithm,Sensitivity-based reactive power control for voltage profile improvement,Implementation of the import optimizer function for Florida Power and Light,Reactive power optimization using fuzzy load representation,A direct nonlinear predictor-corrector primal-dual interior point algorithm for optimal power flows,Application of fuzzy sets to optimal reactive power planning with security constraints,Active-reactive coupling in optimal reactive dispatch: a solution via Karush-Kuhn-Tucker optimality conditions,Application of decomposition techniques to VAr planning: methodological and computational aspects,A simple two stage optimization algorithm for constrained power economic dispatch,A load flow and fuzzy linear programming based external network modeling approach,Static security in power system operation with fuzzy real load conditions,AI approach to optimal VAr control with fuzzy reactive loads,Effect of EMF on minimum cost power transmission,A hybrid tool to assist the operator in reactive power/voltage control and optimization,Linear programming based optimal power flow using second order sensitivities,Short-term generation scheduling with transmission and environmental constraints using an augmented Lagrangian relaxation,Optimization method for reactive power planning by using a modified simple genetic algorithm,OPF for reactive pricing studies on the NGC system,Fuzzy constraint enforcement and control action curtailment in an optimal power flow,A hybrid decoupled approach to optimal power flow,Application of interior point methods to power flow unsolvability,A methodology for probabilistic simultaneous transfer capability analysis,Critical cases in the optimal power flow,Remote cranking of steam electric stations
Programming challenges of chatbot: Current and future prospective,"A M Rahman, Abdullah Al Mamun, Alma Islam, ",2017,0
Morphological analyzer and generator for Tulu language: a novel approach,"P. J. Antony, Hemant B. Raj, B. S. Sahana, Dimple Sonal Alvares, Aishwarya Raj, ",2012,0
Data filtering in humor generation: comparative analysis of hit rate and co-occurrence rankings as a method to choose usable pun candidates,"Pawel Dybala, Rafal Rzepka, Kenji Araki, Kohichi Sayama, ",2012,0
Bioinformatic workflow extraction from scientific texts based on word sense disambiguation and relation extraction,"Ahmed Halioui, Petko Valtchev, Abdoulaye Banir&eacute; Diallo, ",2018,0
A hybrid statistical and semantic model for identification of mental health and behavioral disorders using social network analysis,"Madan Krishnamurthy, Khalid Mahmood, Pawel Marcinek, ",2016,0
Detection of Conditionals in Spoken Utterances,"Sebastian Weigelt, Tobias Hey, Vanessa Steurer, ",2018,0
An automatic classifier for exam questions in Engineering: A process for Bloom's taxonomy,"Kithsiri Jayakodi, Madhushi Bandara, Indika Perera, ",2015,0
Error Analysis in an Automated Narrative Information Extraction Pipeline,"Josep Valls-Vargas, Jichen Zhu, Santiago Onta&ntilde;&oacute;n, ",2017,0
Automatic open domain information extraction from Indonesian text,"Yohanes Gultom, Wahyu Catur Wibowo, ",2017,0
Review of Web Document Clustering algorithms,"Sanjib Kumar Sahu, Shalini Srivastava, ",2016,0
Signs and Symptoms Tagging for Thai Chief Complaints Based on ICD-10,"Pawin Saeku, Jarunee Duangsuwan, ",2017,0
An improved finite element meshing strategy for optimal control of chemical process,"Minliang Gong, Aipeng Jiang, Quannan Zhang, Haokun Wang, Junjie Hu, Yinghui Lin, ",2017,0
Exploring language technologies to provide support to WCAG 2.0 and E2R guidelines,"Lourdes Moreno, Paloma Mart&iacute;nez, Isabel Segura-Bedmar, Ricardo Revert, ",2015,0
Research on optimization method of convolutional nerual network,"Xubin Feng, Xiuqin Su, Minqi Yan, Meilin Xie, Peng Liu, Xuezheng Lian, Feng Jing, ",2018,0
A grammar-free visual language-based communication,,2012,0
Key to crossword solving : NLP,"A. R. Jobin, Anand G Menon, Ashwin Sekhar, Vinay Damodaran, ",2017,0
Hybrid datafication of maintenance logs from AI-assisted human tags,"Thurston Sexton, Michael P. Brundage, Michael Hoffman, K C Morris, ",2017,0
A novel weakly supervised approach for casual English normalization,"Assia Mezhar, Mohammed Ramdani, Amal El Mzabi, ",2016,0
ADANS: An agriculture domain question answering system using ontologies,"Manmita Devi, Mohit Dua, ",2017,0
Automatic summarization of the Arabic documents using NMF: A preliminary study,"A. A. Mohamed, ",2016,0
A Framework for Identifying Excessive Sadness in Students through Twitter and Facebook in the Philippines,"Hussain D. Zuorba, Celine Louise O. Olan, Anthonette D. Cantara, ",2017,0
Protein Classification using Modified N-Gram and Skip-Gram Models: Extended Abstract,"SM Ashiqul Islam, Christopher Michel Kearney, Ankan Choudhury, Erich J. Baker, ",2017,0
Twitter sentiment classification using stanford NLP,"Shital Anil Phand, Jeevan Anil Phand, ",2017,0
Using Word Embedding to Enable Semantic Queries in Relational Databases,"Rajesh Bordawekar, Oded Shmueli, ",2017,0
Which Languages do People Speak on Flickr?: A Language and Geo-Location Study of the YFCC100m Dataset,"Alireza Koochali, Sebastian Kalkowski, Andreas Dengel, Damian Borth, Christian Schulze, ",2016,0
A comparative study of Named Entity Recognition for Arabic using ensemble learning approaches,"Ismail El Bazi, Nabil Laachfoubi, ",2015,0
Semi-supervised probabilistics approach for normalising informal short text messages,"Abiodun Modupe, Turgay Celik, Vukosi Marivate, Melvin Diale, ",2017,0
Predicting Decisions of the Philippine Supreme Court Using Natural Language Processing and Machine Learning,"Michael Benedict L. Virtucio, Jeffrey A. Aborot, John Kevin C. Abonita, Roxanne S. Avi&ntilde;ante, Rother Jay B. Copino, Michelle P. Neverida, Vanesa O. Osiana, Elmer C. Peramo, Joanna G. Syjuco, Glenn Brian A. Tan, ",2018,0
Authorship Attribution via Network Motifs Identification,"Vanessa Queiroz Marinho, Graeme Hirst, Diego Raphael Amancio, ",2016,0
Interactive media creation by reusing video contents,"Minho Han, Wonjoo Park, Jeong-Woo Son, Sun-Joong Kim, ",2017,0
Plausible Deniability for ISP Log and Browser Suggestion Obfuscation with a Phrase Extractor on Potentially Open Text,"Ronald Loui, ",2017,0
MYNTS: Multi-physics network simulator,"Tanja Clees, Klare Cassirer, Nils Hornung, Bernhard Klaassen, Igor Nikitin, Lialia Nikitina, Robin Suter, Inna Torgovitskaia, ",2016,0
The Chinese Multi-Word Expression Extraction Based on Improved Semi-supervised Algorithm,"Liang Yinghong, Hong Lei, Liu Yannan, ",2017,0
Scoring tourist attractions based on sentiment lexicon,"Yi Ding, Bing Li, Yuqi Zhao, Can Cheng, ",2017,0
Word Level Language Identification and Back-Transliteration,"Abhinav Raj, ",2014,0
Improving Arabic document clustering using K-means algorithm and Particle Swarm Optimization,"Abdullah S. Daoud, Ahmed Sallam, Mohamed E. Wheed, ",2017,0
Where am I? Characterizing and improving the localization performance of off-the-shelf mobile devices through cooperation,"Huiguang Liang, Hyong S. Kim, Hwee-Pink Tan, Wai-Leong Yeow, ",2016,0
Ill-formed to well-formed question generator,"Manisha Satish Divate, Ambuja Salgaonkar, ",2016,0
Test model for stop word removal of devnagari text documents based on finite automata,"Anjusha Pimpalshende, A. R. Mahajan, ",2017,0
Distributing Text Mining tasks with librAIry,"Carlos Badenes-Olmedo, Jos&eacute; Luis Redondo-Garcia, Oscar Corcho, ",2017,0
Named entity recognition and classification for Gujarati language,"Komil Vora, Avani Vasant, Rachit Adhvaryu, ",2016,0
Mixed integer linear programming and nonlinear programming for optimal PMU placement,"Anas Almunif, Lingling Fan, ",2017,0
Arabic Ontology Learning from Un-structured Text,"Saeed Albukhitan, Tarek Helmy, ",2016,0
Analysis of unstructured text data for a person social profile,"Alexey Y. Timonin, Alexander S. Bozhday, Alexander M. Bershadsky, ",2017,0
Using Yelp to Find Romance in the City: A Case of Restaurants in Four Cities,"Sohrab Rahimi, Clio Andris, Xi Liu, ",2017,0
How do pronouns affect word embedding,"Tonglee Chung, Bin Xu, Yongbin Liu, Juanzi Li, Chunping Ouyang, ",2017,0
Sentiment analysis of product reviews: A review,"T. K. Shivaprasad, Jyothi Shetty, ",2017,0
Detecting Domain-Specific Ambiguities: An NLP Approach Based on Wikipedia Crawling and Word Embeddings,"Alessio Ferrari, Beatrice Donati, Stefania Gnesi, ",2017,0
Improvement sarcasm analysis using NLP and corpus based approach,"Manoj Y. Manohar, Pallavi Kulkarni, ",2017,0
A Similarity-Based Approach to Recognizing Voice-Based Task Goals in Self-Adaptive Systems,"Xiaobing Zhang, Qiliang Yang, Jianchun Xing, Deshuai Han, Ying Chen, ",2017,0
Multi-label Categorization of French Death Certificates using NLP and Machine Learning,"Allaouzi Imane, Ben Ahmed Mohamed, ",2017,0
Trajectory optimization of aerodynamically controlled missiles using pseudospectral method,"Liaochao Deng, Zuojun Shen, ",2017,0
Slack variable-based control variable parameterization method for constrained engineering optimization,"Ping Liu, Guodong Li, ",2017,0
A web based Punjabi to Hindi Statistical Machine Translation System,"Amarpreet Kaur, Jyoti Rani, ",2015,0
A semiautomated method for classifying program analysis rules into a quality model,"Shrinath Gupta, Himanshu Kumar Singh, ",2014,0
Automatic methods to extract New York heart association classification from clinical notes,"Rui Zhang, Sisi Ma, Liesa Shanahan, Jessica Munroe, Sarah Horn, Stuart Speedie, ",2017,0
Intelligent medical data storage system using machine learning approach,"M S Saranya, M. Selvi, S. Ganapathy, S. Muthurajkumar, L. Sai Ramesh, A. Kannan, ",2017,0
Convolutional Neural Network based sentiment analysis using Adaboost combination,"Yazhi Gao, Wenge Rong, Yikang Shen, Zhang Xiong, ",2016,0
LAWBO: a smart lawyer chatbot,"Shubhashri G, Unnamalai N, Kamalika G, ",2018,0
Arabic Dialect Identification with an Unsupervised Learning (Based on a Lexicon). Application Case: ALGERIAN Dialect,"Im&egrave;ne Guellil, Fai&ccedil;al Azouaou, ",2016,0
Reverse Engineering Variability from Natural Language Documents: A Systematic Literature Review,"Yang Li, Sandro Schulze, Gunter Saake, ",2017,0
Identifying Adverse Drug Reactions by analyzing Twitter messages,"Parinda Rajapaksha, Ruvan Weerasinghe, ",2015,0
Optimal temporal partitioning and synthesis for reconfigurable architectures,"M. Kaul, R. Vemuri, ",1998,0
Information retrieval for unstructured text documents in Serbian into the crime domain,"Vojkan Nikolić, Branko Markoski, Miodrag Ivković, Kristijan Kuk, Predrag Djikanović, ",2015,0
User intention understanding from scratch,"Ziheng Wang, Yonggang Qi, Jun Liu Zhanyu Ma, ",2016,0
Report on the Joint Workshop on Bibliometric-enhanced Information Retrieval and Natural Language Processing for Digital Libraries (BIRNDL 2016),"Guillaume Cabanac, Muthu Kumar Chandrasekaran, Ingo Frommholz, Kokil Jaidka, Min-Yen Kan, Philipp Mayr, Dietmar Wolfram, ",2016,0
Optimizing neural network hyperparameters with Gaussian processes for dialog act classification,"Franck Dernoncourt, Ji Young Lee, ",2016,0
Clinical text analysis using machine learning methods,"Krishna Prasad Chodey, Gongzhu Hu, ",2016,0
Enhanced word embedding with multiple prototypes,"Yuanchun Zheng, Yong Shi, Kun Guo, Wei Li, Luyao Zhu, ",2017,0
Increasing the renewables share in discos power provision: An optimal charging/discharging collaboration through EV fleets,"Amir Hamidi, Daryoush Nazarpour, Sajjad Golshannavaz, ",2016,0
Malayalam word sense disambiguation using Na&iuml;ve Bayes classifier,"Sreelakshmi Gopal, Rosna P Haroon, ",2016,0
FinSSLx: A Sentiment Analysis Model for the Financial Domain Using Text Simplification,"Macedo Maia, Andr� Freitas, Siegfried Handschuh, ",2018,0
Leveraging Sentiment Analysis for Classifying Patient Complaints,"Adel ElMessiry, Zhe Zhang, William O. Cooper, Thomas F. Catron, Jan Karrass, Munindar P. Singh, ",2017,0
Unsupervised cyber bullying detection in social networks,"Michele Di Capua, Emanuel Di Nardo, Alfredo Petrosino, ",2016,0
Performance evaluation of similarity measures on similar and dissimilar text retrieval,"Victor U. Thompson, Christo Panchev, Michael Oakes, ",2015,0
Breast cancer staging using Natural Language Processing,"Johanna Johnsi Rani G, Dennis Gladis, Marie Therese Manipadam, Gunadala Ishitha, ",2015,0
Improving the Selection Error Recognition in a Chinese Grammar Error Detection System,"Po-Lin Chen, Shih-Hung Wu, Liang-Pu Chen, Ping-Che Yang, ",2016,0
Sarcasm detection of non # tagged statements using MLP-BP,"Pornima Gidhe, Leena Ragha, ",2017,0
Modifying the velocity in adaptive PSO to improve optimisation performance,"George Tambouratzis, ",2017,0
FML-based linguistic classification agent for social media application,"Chang-Shing Lee, Mei-Hui Wang, Shih-Ya Lai, Nan Shuo, Naoyuki Kubota, ",2017,0
Character-Based Convolutional Grid Neural Network for Breast Cancer Classification,"Qiao Pan, Yuanyuan Zhang, Dehua Chen, Guangwei Xu, ",2017,0
Linked Open Data for Healthcare Professionals,"Jakub Koz&aacute;k, Martin Nečask&yacute;, Jan Dědek, Jakub Kl&iacute;mek, Jaroslav Pokorn&yacute;, ",2013,0
TextServer: Cloud-Based Multilingual Natural Language Processing,"Llu&iacute;s Padr&oacute;, Jordi Turmo, ",2015,0
Learning Entity Type Embeddings for Knowledge Graph Completion,"Changsung Moon, Paul Jones, Nagiza F. Samatova, ",2017,0
ICON: Inferring Temporal Constraints from Natural Language API Descriptions,"Rahul Pandita, Kunal Taneja, Laurie Williams, Teresa Tung, ",2016,0
Optimum values of TMS and ps of overcurrent relays using amalgam of GA-NLP methods,"Pushpa Bhatiya, Shruti Khatri, ",2017,0
Landmarks in information retrieval: the message out of the bottle,"Keith Van Rijsbergen, ",2002,0
ISM@FIRE-2014: Named Entity Recognition for Indian Languages,"Dinesh Kumar Prabhakar, Shantanu Dubey, Bharti Goel, Sukomal Pal, ",2014,0
Parallel Secure Outsourcing of Large-scale Nonlinearly Constrained Nonlinear Programming Problems,"Changqing Luo, Jinlong Ji, Xuhui Chen, Ming Li, Laurence T. Yang, Pan Li, ",2018,0
An NLP penalty-based strategy for handling discrete controls for Volt/Var optimization in distribution systems,"Fillipe M. de Vasconcelos, Geraldo R. M. da Costa, Guilherme G. Lage, ",2015,0
Learning to hash-tag videos with Tag2Vec,"Aditya Singh, Saurabh Saini, Rajvi Shah, P J Narayanan, ",2016,0
StandardConnection: correlating educational resources in digital libraries to content standards,"Stuart A. Sutton, Elizabeth D. Liddy, John Kendall, ",2002,0
Multi-Entity Polarity Analysis in Financial Documents,"Javier Zambrano Ferreira, Josiane Rodrigues, Marco Cristo, David Fernandes de Oliveira, ",2014,0
A comparative study of open source deep learning frameworks,"Ali Shatnawi, Ghadeer Al-Bdour, Raffi Al-Qurran, Mahmoud Al-Ayyoub, ",2018,0
Improving Unsupervised Dependency Parsing with Knowledge from Query Logs,"Xiuming Qiao, Hailong Cao, Tiejun Zhao, ",2016,0
Addressing the challenges of requirements ambiguity: A review of empirical literature,"Muneera Bano, ",2015,0
Detecting polarization in ratings: An automated pipeline and a preliminary quantification on several benchmark data sets,"Mahsa Badami, Olfa Nasraoui, Welong Sun, Patrick Shafto, ",2017,0
A hybrid Parts Of Speech tagger for Malayalam language,"Anisha Aziz T, Sunitha C, ",2015,0
Conditional Random Fields based Named Entity Recognition for Sinhala,"K. U. Senevirathne, N. S. Attanayake, A. W. M. H. Dhananjanie, W. A. S. U. Weragoda, A. Nugaliyadde, S. Thelijjagoda, ",2015,0
Embedding wikipedia title based on its wikipedia text and categories,"Chi-Yen Chen, Wei-Yun Ma, ",2017,0
On the design of web crawlers for constructing an efficient Chinese-Portuguese bilingual corpus system,"Sio Tai Cheong, Jiabo Xu, Yue Liu, ",2018,0
Weighted word2vec based on the distance of words,"Chia-Yang Chang, Shie-Jue Lee, Chih-Chin Lai, ",2017,0
Estimating Semantic Relatedness in Source Code,"Anas Mahmoud, Gary Bradshaw, ",2015,0
Using Intelligent Agents for Social Sensing across Disadvantaged Networks,"Reginald L. Hobbs, Will Dron, ",2015,0
A Matrix-Vector Recurrent Unit Model for Capturing Compositional Semantics in Phrase Embeddings,"Rui Wang, Wei Liu, Chris McDonald, ",2017,0
Topic detection using BNgram method and sentiment analysis on twitter dataset,"Suvarna D. Tembhurnikar, Nitin N. Patil, ",2015,0
"DRAT: An Unobtrusive, Scalable Approach to Large Scale Software License Analysis","Chris A. Mattmann, Ji-Hyun Oh, Tyler Palsulich, Lewis John McGibbney, Yolanda Gil, Varun Ratnakar, ",2015,0
Development of thai question answering system,"Hatsanai Decha, Karn Patanukhom, ",2017,0
Evaluating the Competency of a First-Order Ontology,"Javier &Aacute;lvez, Paqui Lucio, German Rigau, ",2015,0
Enforcing structure on textual use cases via annotation models,"Kiran Prakash Sawant, Suman Roy, Deepti Parachuri, Fran&ccedil;ois Plesse, Pushpak Bhattacharya, ",2014,0
High-Energy Noiselike Pulses in an all-PM Double-Clad Er/Yb-Codoped Fiber Laser,"Xinwu Zhou, Zhaochen Cheng, Yuhang Shi, Haodong Guo, Pu Wang, ",2018,0
A Joint Model for Sentence Semantic Similarity Learning,"Di Wu, Jiuming Huang, Shuqiang Yang, ",2017,0
A novel Multiple Attribute Group Decision Making methodology based on Intuitionistic Fuzzy TOPSIS,"Beyzanur &Ccedil;ayır Ervural, S. Ceren &Ouml;ner, Veysel &Ccedil;oban, Cengiz Kahraman, ",2015,0
How to Combine Salience Factors for Arabic Pronoun Anaphora Resolution,"Saoussen Mathlouthi Bouzid, F&eacute;riel Ben Fraj Trabelsi, Chiraz Ben Othmane Zribi, ",2017,0
A Branch and Bound algorithm to solve nonconvex MINLP problems via novel division strategy: An electric power system case study,"Marcos Andr&eacute; de Jesus Delgado, Mahdi Pourakbari-Kasmaei, Marcos Julio Rider, ",2017,0
Optimal operation of distribution networks with synchronous generators via transient stability constrained optimal power flow,"Kamile Fuchs, Roman Kuiava, Thelma S. P. Fernandes, ",2015,0
Tamil character recognition from ancient epigraphical inscription using OCR and NLP,"T. Manigandan, V. Vidhya, V. Dhanalakshmi, B. Nirmala, ",2017,0
AMRITA_CEN@FIRE-2014: Named Entity Recognition for Indian Languages using Rich Features,"N. Abinaya, Neethu John, Barathi H. B. Ganesh, Anand M. Kumar, K. P. Soman, ",2014,0
Natural Language Processing for Historical Texts,"Michael Piotrowski, ",2012,0
Technology Management Practices of CTOs in Emerging Economy India,"Ajit Kumar, Mukundan R., Karuna Jain, ",2017,0
Text Mining Approach for Product Quality Enhancement: (Improving Product Quality through Machine Learning),"Chandrasekhar Rangu, Shuvojit Chatterjee, Srinivasa Rao Valluru, ",2017,0
NLP based verification of a UML class model,"Rauf Sajjad, Nadeem Sarwar, ",2016,0
Word2vec based system for recognizing partial textual entailment,"Martin V&iacute;ta, Vincent Kr&iacute;ž, ",2016,0
Introduction to Chinese Natural Language Processing,"Kam-Fai Wong, Wenjie Li, Ruifeng Xu, Zheng-sheng Zhang, ",2009,0
Conditional collocation in Japanese,"Takumi Sonoda, Takao Miura, ",2013,0
Deep Character-Level Click-Through Rate Prediction for Sponsored Search,"Bora Edizel, Amin Mantrach, Xiao Bai, ",2017,0
